Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
1-Nitronaphthalene,-84.248,Inf,12434.0,Inf,10.996,Inf,336.64,Inf,64.913,Inf,91.425,Inf,-47629.0,Inf,-22.727,Inf,-70178.0,Inf,-70.113,Inf,90.0,781.0,1.0,1.0021000000000001e-27,Inf,3
Benzophenone,-89.471,Inf,12740.0,Inf,11.697,Inf,322.43,Inf,61.438,Inf,97.257,Inf,-48004.0,Inf,-25.222,Inf,-70610.0,Inf,-73.337,Inf,90.0,781.0,1.0,1.5396999999999998e-21,Inf,3
2-phenylethenylbenzene,-74.573,Inf,12046.0,Inf,9.5255,Inf,314.57,Inf,53.57,Inf,79.2,Inf,-53610.0,Inf,-35.839,Inf,-71396.0,Inf,-73.968,Inf,90.0,781.0,1.0,3.4121e-22,Inf,3
Hexachlorbenzol,-57.246,14.504,9957.1,1204.7,7.3178,1.972,296.76,4.455,56.128,4.0351,60.843,16.396,-48113.0,3539.7,-29.043,6.105,-60692.0,4950.1,-56.463,9.6293,90.0,781.0,0.99999,1.9496e-5,1.9496e-5,4
Phenanthrene,-98.289,Inf,13516.0,Inf,12.969,Inf,364.53,Inf,77.52,Inf,107.83,Inf,-43615.0,Inf,-13.016,Inf,-73218.0,Inf,-73.729,Inf,90.0,781.0,1.0,2.0847e-25,Inf,3
Dibutyl Phthalate,-97.371,Inf,14477.0,Inf,12.48,Inf,323.43,Inf,50.621,Inf,103.77,Inf,-58458.0,Inf,-42.609,Inf,-82682.0,Inf,-94.121,Inf,90.0,781.0,1.0,1.0334e-28,Inf,3
4-Methyl-2-Nitrophenol,-74.804,1.0203,10350.0,77.072,9.8707,0.14022,255.9,0.17608,54.577,0.21562,82.07,1.1658,-42640.0,170.84,-25.218,0.31955,-56255.0,260.04,-56.098,0.54475,90.0,781.0,1.0,9.8567e-8,9.8567e-8,4
2-Nitrotoluol,-66.275,3.3381,9542.9,240.55,8.6943,0.46133,235.85,0.3687,50.625,0.50561,72.289,3.8357,-42550.0,429.4,-28.216,0.83708,-53092.0,708.04,-52.622,1.5449,90.0,781.0,1.0,1.0669e-6,1.0669e-6,4
Butyrophenone,-74.108,1.8249,10176.0,131.06,9.7462,0.25233,234.2,0.18917,49.203,0.25842,81.034,2.098,-43497.0,230.74,-30.354,0.45142,-55182.0,382.09,-57.451,0.83591,90.0,781.0,1.0,3.1918e-7,3.1918e-7,4
Indole,-88.362,Inf,12850.0,Inf,11.46,Inf,309.76,Inf,55.076,Inf,95.285,Inf,-51296.0,Inf,-32.62,Inf,-72235.0,Inf,-77.71,Inf,90.0,781.0,1.0,1.6798999999999999e-22,Inf,3
Biphenyl,-76.157,2.8475,10705.0,218.85,10.002,0.39055,263.22,0.54431,53.874,0.61761,83.16,3.2472,-44400.0,516.92,-27.399,0.95269,-58804.0,770.58,-59.832,1.5915,90.0,781.0,1.0,7.6467e-7,7.6467e-7,4
"2,4-Dinitrotoluol",-77.559,Inf,12157.0,Inf,9.9775,Inf,319.24,Inf,56.184,Inf,82.957,Inf,-51932.0,Inf,-32.286,Inf,-70949.0,Inf,-72.881,Inf,90.0,781.0,1.0,1.4451999999999999e-21,Inf,3
Benzyl benzoate,-87.568,Inf,13210.0,Inf,11.293,Inf,328.6,Inf,56.453,Inf,93.898,Inf,-53330.0,Inf,-33.246,Inf,-75734.0,Inf,-80.667,Inf,90.0,781.0,1.0,2.4139e-28,Inf,3
Anthracene,-75.703,Inf,12137.0,Inf,9.7751,Inf,350.92,Inf,64.512,Inf,81.274,Inf,-50195.0,Inf,-25.052,Inf,-71401.0,Inf,-69.058,Inf,90.0,781.0,1.0,7.7151e-27,Inf,3
"2,4,6-Trichlorophenol",-95.468,7.8019,13287.0,650.29,12.417,1.061,295.41,2.1829,51.911,1.9263,103.24,8.8213,-51775.0,1962.0,-35.685,3.3973,-72981.0,2713.4,-81.965,5.2549,90.0,781.0,1.0,5.643e-6,5.643e-6,4
Diethyl phthalate,-116.55,3.1026,14604.0,266.02,15.396,0.421,303.23,1.0553,57.982,1.0371,128.01,3.5004,-47639.0,869.73,-27.272,1.486,-74934.0,1174.3,-86.407,2.2246,90.0,781.0,1.0,8.8853e-7,8.8853e-7,4
Dibenzothiophene,-126.67,Inf,15123.0,Inf,17.004,Inf,385.11,Inf,110.27,Inf,141.38,Inf,-32673.0,Inf,5.7438,Inf,-74397.0,Inf,-78.349,Inf,90.0,781.0,1.0,3.296e-23,Inf,3
1-Benzofuran,-51.966,2.6321,8011.8,172.25,6.7395,0.3685,191.72,0.064442,44.294,0.16302,56.035,3.0639,-40565.0,149.72,-31.881,0.32139,-46264.0,345.89,-45.718,0.82219,90.0,781.0,1.0,6.8077e-7,6.8077e-7,4
"2,3-Dimethylphenol",-103.96,1.1493,13444.0,89.725,13.631,0.15739,268.84,0.21484,48.509,0.21404,113.34,1.3086,-50349.0,225.72,-37.518,0.41155,-70618.0,329.03,-82.902,0.67029,90.0,781.0,1.0,1.2419e-7,1.2419e-7,4
Coumarin,-91.759,3.4296,12643.0,311.78,12.091,0.46265,326.52,1.6793,66.687,1.6445,100.53,3.8467,-44835.0,1133.8,-19.387,1.8556,-68612.0,1492.1,-69.808,2.7134,90.0,781.0,1.0,1.073e-6,1.073e-6,4
