Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
2-phenylethenylbenzene,-128.31,23.187,14962.0,1620.0,16.697,3.2175,221.63,1.3267,36.535,1.6076,138.83,26.751,-55712.0,2469.6,-66.691,4.9638,-73985.0,4317.6,-109.63,9.6676,90.0,250.0,0.99999,5.1897e-5,5.1897e-5,4
Hexachlorbenzol,-107.69,34.661,13126.0,2386.0,13.944,4.8189,215.07,1.7104,37.723,2.3362,115.94,40.067,-52536.0,3274.3,-61.699,6.6747,-67037.0,6001.6,-96.011,13.625,90.0,250.0,0.99996,0.00011642,0.00011642,4
Phenanthrene,-108.32,38.081,13705.0,2757.5,13.953,5.2602,237.59,3.4157,39.654,3.6554,116.01,43.736,-54695.0,5094.7,-61.182,9.8978,-71816.0,8267.9,-100.75,17.949,90.0,250.0,0.99996,0.00013871,0.00013871,4
Dibutyl Phthalate,-149.59,Inf,17388.0,Inf,19.45,Inf,245.5,Inf,36.849,Inf,161.72,Inf,-60695.0,Inf,-71.117,Inf,-85843.0,Inf,-128.76,Inf,90.0,250.0,1.0,3.325e-28,Inf,3
Carbazole,-107.26,Inf,15147.0,Inf,13.432,Inf,258.86,Inf,35.374,Inf,111.68,Inf,-66526.0,Inf,-79.139,Inf,-85385.0,Inf,-121.78,Inf,90.0,250.0,1.0,1.5916e-26,Inf,3
Fluoranthene,-81.435,Inf,12869.0,Inf,10.046,Inf,270.0,Inf,39.797,Inf,83.526,Inf,-61634.0,Inf,-67.567,Inf,-76668.0,Inf,-101.19,Inf,90.0,250.0,1.0,5.3226e-25,Inf,3
Pyrene,-72.834,Inf,12424.0,Inf,8.8352,Inf,276.15,Inf,39.857,Inf,73.46,Inf,-62944.0,Inf,-68.681,Inf,-76619.0,Inf,-99.082,Inf,90.0,250.0,1.0,2.2822e-24,Inf,3
4-Methyl-2-Nitrophenol,-120.45,65.556,12952.0,3990.1,15.805,9.2813,156.6,0.4719,29.981,0.52544,131.41,77.169,-51217.0,904.65,-73.272,2.0928,-59969.0,5220.1,-95.4,13.164,90.0,250.0,0.99983,0.00043185,0.00043185,4
2-Nitrotoluol,-93.224,Inf,11122.0,Inf,11.937,Inf,142.22,Inf,27.991,Inf,99.248,Inf,-51250.0,Inf,-77.475,Inf,-56433.0,Inf,-90.811,Inf,90.0,250.0,1.0,1.5384999999999998e-26,Inf,3
Butyrophenone,-76.109,39.236,10441.0,2365.5,9.4291,5.5637,151.9,0.27714,28.086,0.22828,78.398,46.259,-53485.0,440.29,-79.924,1.0261,-58338.0,2897.8,-92.263,7.3536,90.0,250.0,0.99994,0.00015518,0.00015518,4
Indole,-127.49,29.746,14716.0,1934.3,16.486,4.1686,188.61,0.42488,30.017,0.80195,137.07,34.659,-59060.0,1581.6,-81.994,3.4191,-72576.0,3768.0,-114.92,9.0032,90.0,250.0,0.99998,8.7114e-5,8.7114e-5,4
Biphenyl,-98.331,32.561,11994.0,2048.0,12.614,4.5859,172.64,0.22834,31.193,0.59802,104.88,38.13,-52971.0,1017.0,-72.917,2.2789,-61638.0,3311.5,-94.421,8.1437,90.0,250.0,0.99996,0.00010543,0.00010543,4
"2,4-Dinitrotoluol",-144.0,13.036,15647.0,884.51,18.945,1.8161,208.28,0.49088,35.514,0.71874,157.52,15.1,-54263.0,1103.8,-66.804,2.284,-72894.0,2105.0,-111.22,4.8377,90.0,250.0,1.0,1.6534e-5,1.6534e-5,4
Benzyl benzoate,-152.41,6.31,16735.0,449.61,20.04,0.8735,229.89,0.45956,38.029,0.53049,166.62,7.2627,-55325.0,778.36,-64.074,1.5375,-78635.0,1288.2,-118.37,2.8317,90.0,250.0,1.0,3.8251e-6,3.8251e-6,4
Benzo[h]quinoline,-129.49,18.17,15045.0,1331.8,16.945,2.5066,242.19,1.8949,42.069,2.0946,140.88,20.841,-52489.0,2641.8,-55.944,5.0851,-73930.0,4161.4,-105.26,8.929,90.0,250.0,0.99999,3.1498e-5,3.1498e-5,4
Anthracene,-122.24,20.022,14551.0,1460.3,15.93,2.7635,240.31,1.9795,41.38,2.1786,132.45,22.977,-52973.0,2818.8,-57.262,5.4464,-72882.0,4489.6,-103.14,9.678,90.0,250.0,0.99999,3.8286e-5,3.8286e-5,4
Acridine,-123.4,41.623,14757.0,3057.2,16.064,5.7401,243.32,4.3526,41.286,4.6346,133.56,47.725,-53718.0,6097.7,-58.102,11.709,-74195.0,9597.6,-105.14,20.564,90.0,250.0,0.99996,0.00016518,0.00016518,4
Diphenylsulfoxide,-87.202,Inf,12962.0,Inf,10.862,Inf,251.74,Inf,37.947,Inf,90.311,Inf,-60365.0,Inf,-69.097,Inf,-74972.0,Inf,-102.37,Inf,90.0,250.0,1.0,2.2281e-27,Inf,3
1-Methylanthracene,-120.35,3.3946,14886.0,255.27,15.575,0.46683,253.39,0.42698,41.468,0.41324,129.5,3.8814,-55588.0,561.24,-59.665,1.0555,-76747.0,854.53,-107.77,1.7951,90.0,250.0,1.0,1.0925e-6,1.0925e-6,4
"2,4,6-Trichlorophenol",-185.43,29.552,18254.0,1918.9,24.678,4.1423,187.84,0.41821,30.9,0.84404,205.18,34.441,-57181.0,1565.3,-78.132,3.39,-77256.0,3718.9,-127.08,8.8924,90.0,250.0,0.99998,8.6021e-5,8.6021e-5,4
Diethyl phthalate,-145.92,22.352,15858.0,1497.1,19.158,3.1192,202.39,0.64629,33.514,0.99568,159.29,25.935,-56102.0,1673.7,-72.068,3.5087,-74004.0,3367.4,-115.02,7.8312,90.0,250.0,0.99999,4.8777e-5,4.8777e-5,4
Dibenzothiophene,-58.548,90.209,10654.0,6409.6,6.8956,12.488,230.1,6.1189,35.253,6.0931,57.333,103.83,-59731.0,10426.0,-72.784,20.565,-67763.0,17928.0,-91.49,39.661,90.0,250.0,0.99979,0.00078178,0.00078178,4
Anthrachinon,-147.97,Inf,16718.0,Inf,19.493,Inf,271.83,Inf,48.732,Inf,162.07,Inf,-50673.0,Inf,-47.074,Inf,-80143.0,Inf,-112.86,Inf,90.0,250.0,1.0,2.6480000000000002e-24,Inf,3
"2,3-Dimethylphenol",-51.265,55.853,10029.0,3459.9,5.5742,7.8853,165.21,0.30223,25.333,0.4991,46.346,65.562,-63069.0,1245.6,-97.966,2.8363,-66555.0,5086.2,-106.69,12.663,90.0,250.0,0.99992,0.00031171,0.00031171,4
Coumarin,-203.61,81.752,18589.0,5471.4,27.582,11.411,201.6,2.8082,41.015,5.6229,229.33,94.878,-45689.0,6287.0,-50.331,13.206,-71281.0,12359.0,-111.78,28.708,90.0,250.0,0.99979,0.0006528,0.0006528,4
