Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
Diphenylamine,-74.716,10.232,11110.0,704.86,9.2878,1.4223,215.71,0.49597,36.377,0.63271,77.223,11.826,-54624.0,956.54,-65.829,1.9468,-64332.0,1770.6,-88.785,4.0214,90.0,250.0,1.0,1.0141e-5,1.0141e-5,4
1-Nitronaphthalene,-69.111,8.5945,10535.0,596.98,8.5889,1.1934,219.53,0.49034,38.508,0.62386,71.412,9.9221,-52410.0,855.46,-60.469,1.7266,-61659.0,1546.6,-82.252,3.4874,90.0,250.0,1.0,7.1392e-6,7.1392e-6,4
Benzophenone,-63.028,14.049,10371.0,970.25,7.6501,1.9521,216.99,0.70427,36.282,0.87196,63.607,16.231,-55053.0,1332.5,-66.414,2.7043,-63130.0,2457.6,-85.488,5.5713,90.0,250.0,0.99999,1.9104e-5,1.9104e-5,4
2-phenylethenylbenzene,-76.108,8.9182,11451.0,631.52,9.4562,1.2352,228.27,0.61641,37.474,0.67819,78.623,10.27,-55783.0,1018.8,-65.343,2.018,-66654.0,1752.1,-90.709,3.884,90.0,250.0,1.0,7.6485e-6,7.6485e-6,4
Hexachlorbenzol,-67.529,8.5089,10711.0,607.73,8.3301,1.1772,232.22,0.67459,39.287,0.73764,69.26,9.7876,-54051.0,1025.1,-61.045,2.0132,-63901.0,1733.2,-83.934,3.8145,90.0,250.0,1.0,6.947e-6,6.947e-6,4
Phenanthrene,-66.079,8.8631,10762.0,649.37,8.127,1.2223,243.63,0.91898,40.694,0.91513,67.572,10.162,-54564.0,1242.3,-59.678,2.3818,-64945.0,2002.2,-83.516,4.3112,90.0,250.0,1.0,7.4892e-6,7.4892e-6,4
Dibutyl Phthalate,-87.582,Inf,13457.0,Inf,10.755,Inf,248.08,Inf,34.605,Inf,89.423,Inf,-65276.0,Inf,-79.327,Inf,-79411.0,Inf,-111.64,Inf,90.0,250.0,1.0,5.1769e-28,Inf,3
Carbazole,-99.676,6.8254,13191.0,509.92,12.782,0.93925,251.16,0.84435,42.364,0.83868,106.27,7.8093,-53953.0,1082.2,-56.995,2.0439,-71081.0,1671.6,-96.026,3.5341,90.0,250.0,1.0,4.4226e-6,4.4226e-6,4
Fluoranthene,-62.611,Inf,11367.0,Inf,7.5215,Inf,276.62,Inf,41.795,Inf,62.537,Inf,-60126.0,Inf,-63.459,Inf,-71797.0,Inf,-89.391,Inf,90.0,250.0,1.0,2.1989e-24,Inf,3
Pyrene,-69.933,Inf,11866.0,Inf,8.5706,Inf,285.47,Inf,44.086,Inf,71.26,Inf,-58853.0,Inf,-59.446,Inf,-72783.0,Inf,-90.135,Inf,90.0,250.0,1.0,3.2515e-23,Inf,3
4-Methyl-2-Nitrophenol,70.344,Inf,1004.9,Inf,-11.037,Inf,164.41,Inf,32.815,Inf,-91.768,Inf,-48509.0,Inf,-64.956,Inf,-41681.0,Inf,-47.851,Inf,90.0,250.0,1.0,2.0004000000000003e-25,Inf,3
2-Nitrotoluol,-62.244,50.962,8938.3,3038.2,7.6933,7.2397,146.4,0.39956,30.824,0.37146,63.966,60.194,-47481.0,579.29,-67.262,1.3681,-51088.0,3444.8,-76.497,8.7981,90.0,250.0,0.99987,0.00026275,0.00026275,4
Butyrophenone,-32.328,8.0717,7345.2,494.09,3.4381,1.1417,159.38,0.059528,31.936,0.085817,28.586,9.4928,-48707.0,131.57,-66.701,0.303,-50690.0,671.68,-71.699,1.6872,90.0,250.0,1.0,6.5348e-6,6.5348e-6,4
Indole,-36.268,2.3526,7583.1,146.46,4.038,0.33189,167.63,0.016625,33.479,0.040817,33.574,2.7594,-48251.0,58.937,-63.558,0.13352,-50857.0,222.19,-70.062,0.55103,90.0,250.0,1.0,5.5219e-7,5.5219e-7,4
Biphenyl,-51.742,7.8159,8771.1,501.03,6.2066,1.0976,181.83,0.091219,34.806,0.23592,51.604,9.1262,-49448.0,335.75,-62.775,0.73698,-54187.0,902.89,-74.408,2.1854,90.0,250.0,1.0,6.0399e-6,6.0399e-6,4
"2,4-Dinitrotoluol",-80.817,11.797,11455.0,802.06,10.132,1.6427,209.62,0.46385,35.507,0.64162,84.242,13.658,-54574.0,991.73,-67.137,2.0456,-64651.0,1913.7,-91.122,4.3967,90.0,250.0,1.0,1.3528e-5,1.3528e-5,4
Benzyl benzoate,-93.874,9.5356,12799.0,684.0,11.905,1.3186,233.76,0.75604,37.987,0.79843,98.981,10.964,-56242.0,1194.0,-65.043,2.3379,-70472.0,1985.1,-98.055,4.3482,90.0,250.0,1.0,8.7167e-6,8.7167e-6,4
Benzo[h]quinoline,-71.556,7.8419,11137.0,576.6,8.8932,1.081,245.05,0.8441,41.131,0.84158,73.942,8.9879,-54282.0,1124.6,-58.843,2.1501,-65747.0,1798.0,-85.133,3.8588,90.0,250.0,1.0,5.8581e-6,5.8581e-6,4
Anthracene,-73.502,1.4484,11247.0,106.76,9.1743,0.19961,246.07,0.1606,41.577,0.16056,76.279,1.6596,-53911.0,210.84,-57.923,0.40225,-65816.0,335.43,-85.193,0.71827,90.0,250.0,1.0,1.9974e-7,1.9974e-7,4
Acridine,-73.823,6.3514,11355.0,468.86,9.1953,0.87511,246.75,0.70512,41.116,0.692,76.454,7.2761,-54658.0,931.79,-59.225,1.7752,-66642.0,1479.1,-86.658,3.1635,90.0,250.0,1.0,3.8392e-6,3.8392e-6,4
Diphenylsulfoxide,-67.1,Inf,11195.0,Inf,8.188,Inf,251.31,Inf,39.862,Inf,68.079,Inf,-57372.0,Inf,-63.484,Inf,-68354.0,Inf,-88.507,Inf,90.0,250.0,1.0,1.3446e-27,Inf,3
1-Methylanthracene,-59.856,Inf,10877.0,Inf,7.1583,Inf,258.8,Inf,40.027,Inf,59.518,Inf,-58779.0,Inf,-64.589,Inf,-68825.0,Inf,-87.309,Inf,90.0,250.0,1.0,1.6106e-26,Inf,3
"2,4,6-Trichlorophenol",-57.49,5.6098,9019.6,357.15,7.0411,0.78864,178.51,0.055477,34.934,0.15567,58.543,6.5571,-48552.0,216.69,-61.59,0.47922,-53733.0,619.55,-74.358,1.5084,90.0,250.0,1.0,3.118e-6,3.118e-6,4
Diethyl phthalate,-88.394,2.7354,12056.0,184.92,11.144,0.38121,206.93,0.095297,34.37,0.13435,92.656,3.1696,-55756.0,219.07,-70.231,0.45456,-66591.0,431.08,-96.096,0.99531,90.0,250.0,1.0,7.2854e-7,7.2854e-7,4
Dibenzothiophene,-67.612,16.022,10788.0,1166.4,8.353,2.2113,240.73,1.5694,40.653,1.6125,69.451,18.386,-54009.0,2167.5,-59.193,4.1812,-64477.0,3530.2,-83.304,7.6425,90.0,250.0,0.99999,2.4514e-5,2.4514e-5,4
Anthrachinon,-67.783,Inf,11594.0,Inf,8.2368,Inf,266.36,Inf,40.709,Inf,68.484,Inf,-59449.0,Inf,-64.282,Inf,-71527.0,Inf,-91.391,Inf,90.0,250.0,1.0,1.4253000000000002e-25,Inf,3
1-Benzofuran,440.02,Inf,-20855.0,Inf,-63.885,Inf,112.24,Inf,39.449,Inf,-531.17,Inf,-31303.0,Inf,-35.318,Inf,-19493.0,Inf,-3.7524,Inf,90.0,250.0,1.0,2.6685e-23,Inf,3
"2,3-Dimethylphenol",-21.513,20.077,6462.5,1191.0,1.9127,2.8546,143.94,0.15511,30.711,0.16071,15.903,23.735,-47099.0,248.96,-67.014,0.59243,-47957.0,1304.4,-69.217,3.3401,90.0,250.0,0.99998,4.0851e-5,4.0851e-5,4
Coumarin,-60.584,13.467,9497.0,889.95,7.4577,1.8827,196.36,0.33634,36.767,0.62802,62.007,15.654,-49850.0,854.48,-60.266,1.8152,-56445.0,1872.3,-76.194,4.4128,90.0,250.0,0.99999,1.7771e-5,1.7771e-5,4
