Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
Acridine,-64.309,17.131,11004.0,1271.4,7.7928,2.3587,249.43,1.9123,39.398,1.7315,64.793,19.611,-57633.0,2567.7,-64.376,4.8636,-67963.0,4060.7,-87.959,8.6516,90.0,250.0,0.99999,2.789e-5,2.789e-5,4
Diphenylsulfoxide,-108.23,Inf,14167.0,Inf,13.894,Inf,262.34,Inf,42.629,Inf,115.52,Inf,-55929.0,Inf,-58.536,Inf,-75838.0,Inf,-103.4,Inf,90.0,250.0,1.0,4.807e-26,Inf,3
1-Methylanthracene,-24.993,Inf,8895.1,Inf,2.1843,Inf,255.8,Inf,36.15,Inf,18.161,Inf,-64351.0,Inf,-75.751,Inf,-67363.0,Inf,-82.581,Inf,90.0,250.0,1.0,6.4476e-27,Inf,3
"2,4,6-Trichlorophenol",-27.14,28.173,7331.5,1784.6,2.6755,3.9636,176.08,0.23496,32.923,0.64123,22.246,32.955,-50964.0,994.04,-67.541,2.2104,-52879.0,3005.9,-72.273,7.3502,90.0,250.0,0.99997,7.8757e-5,7.8757e-5,4
Diethyl phthalate,-79.537,9.8527,11850.0,667.36,9.784,1.3727,207.9,0.33422,32.396,0.43317,81.348,11.414,-59392.0,798.42,-77.555,1.6531,-68983.0,1566.4,-100.43,3.6115,90.0,250.0,1.0,9.4468e-6,9.4468e-6,4
Dibenzothiophene,-56.18,90.843,10204.0,6649.1,6.7148,12.528,243.44,9.1399,39.624,8.792,55.83,104.17,-55999.0,12582.0,-62.492,24.129,-64566.0,20398.0,-82.169,43.986,90.0,250.0,0.99977,0.00078686,0.00078686,4
Anthrachinon,-70.5,Inf,12038.0,Inf,8.5554,Inf,270.76,Inf,40.061,Inf,71.134,Inf,-61400.0,Inf,-66.979,Inf,-74259.0,Inf,-95.715,Inf,90.0,250.0,1.0,5.905400000000001e-25,Inf,3
1-Benzofuran,-50.309,Inf,8059.5,Inf,5.8779,Inf,114.31,Inf,25.965,Inf,48.872,Inf,-48074.0,Inf,-78.167,Inf,-49262.0,Inf,-81.334,Inf,90.0,250.0,1.0,2.9796e-25,Inf,3
"2,3-Dimethylphenol",6.1024,24.122,4988.1,1433.1,-2.0744,3.4288,144.68,0.18174,29.819,0.17418,-17.247,28.509,-48680.0,287.48,-70.597,0.68241,-47737.0,1585.2,-68.178,4.0566,90.0,250.0,0.99997,5.8939e-5,5.8939e-5,4
Coumarin,-86.915,Inf,11358.0,Inf,11.12,Inf,202.37,Inf,37.251,Inf,92.46,Inf,-50470.0,Inf,-60.228,Inf,-60860.0,Inf,-85.155,Inf,90.0,250.0,1.0,1.2713e-26,Inf,3
