Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
"2,4-Dinitrotoluol",-47.813,14.588,8798.4,1072.3,5.9995,2.0109,245.26,1.8108,47.246,2.0433,49.883,16.719,-47294.0,2071.8,-35.851,3.9582,-55039.0,3331.5,-53.606,7.1572,90.0,781.0,0.99999,2.0271e-5,2.0271e-5,4
Benzyl benzoate,-68.667,13.138,11164.0,1058.4,8.7439,1.7923,283.82,3.0452,49.286,2.6509,72.701,14.902,-52332.0,2872.3,-38.58,5.0797,-66423.0,4110.3,-69.673,8.1847,90.0,781.0,1.0,1.6103e-5,1.6103e-5,4
Benzo[h]quinoline,-61.548,13.261,10521.0,1124.3,7.863,1.7993,304.85,4.4243,55.899,3.8169,65.376,14.96,-49692.0,3477.4,-30.593,5.9072,-63738.0,4790.2,-60.977,9.173,90.0,781.0,1.0,1.6229e-5,1.6229e-5,4
Anthracene,-58.515,16.386,10381.0,1392.5,7.4281,2.2225,306.2,5.4768,55.226,4.6043,61.761,18.479,-50532.0,4319.9,-31.843,7.3185,-63884.0,5948.4,-60.69,11.374,90.0,781.0,0.99999,2.4764e-5,2.4764e-5,4
Acridine,-60.63,14.499,10498.0,1229.0,7.7253,1.9671,304.95,4.7994,55.404,4.0922,64.231,16.356,-50154.0,3796.9,-31.377,6.4483,-63960.0,5233.0,-61.24,10.023,90.0,781.0,0.99999,1.9399e-5,1.9399e-5,4
Diphenylsulfoxide,-74.575,12.236,11446.0,1040.9,9.6598,1.6601,304.73,4.1541,56.956,3.7324,80.316,13.802,-48750.0,3270.7,-28.981,5.5614,-65997.0,4478.9,-66.292,8.5485,90.0,781.0,1.0,1.3815e-5,1.3815e-5,4
1-Methylanthracene,-227.85,Inf,21567.0,Inf,31.094,Inf,420.44,Inf,1.2045e6,Inf,258.53,Inf,-3.3208,Inf,55.374,Inf,-85434.0,Inf,-111.91,Inf,90.0,781.0,0.66308,0.73347,Inf,3
"2,4,6-Trichlorophenol",-37.954,13.73,7755.2,971.49,4.6881,1.9017,228.25,1.1775,46.516,1.5791,38.979,15.812,-44936.0,1540.0,-34.243,3.0497,-50325.0,2677.9,-46.817,5.9467,90.0,781.0,0.99999,1.813e-5,1.813e-5,4
Diethyl phthalate,-64.768,13.052,10323.0,960.5,8.2422,1.799,245.44,1.5296,44.462,1.6421,68.53,14.957,-50291.0,1880.9,-41.597,3.5931,-60943.0,3002.7,-66.014,6.4394,90.0,781.0,0.99999,1.6224e-5,1.6224e-5,4
Dibenzothiophene,-67.299,11.827,10799.0,1002.3,8.6893,1.6049,303.88,4.022,57.56,3.636,72.247,13.344,-48097.0,3111.3,-27.973,5.2972,-63549.0,4277.9,-61.429,8.1906,90.0,781.0,1.0,1.2913e-5,1.2913e-5,4
Anthrone,-14.073,Inf,8048.6,Inf,1.0789,Inf,307.25,Inf,45.385,Inf,8.9704,Inf,-61713.0,Inf,-50.95,Inf,-63662.0,Inf,-55.156,Inf,90.0,781.0,1.0,2.9188e-29,Inf,3
1-Benzofuran,-19.715,7.1207,5510.4,434.59,2.2407,1.0077,157.93,0.068668,40.892,0.11498,18.63,8.3784,-37785.0,106.92,-32.272,0.24684,-39050.0,579.16,-35.466,1.4579,90.0,781.0,1.0,5.0906e-6,5.0906e-6,4
"2,3-Dimethylphenol",-27.695,6.8084,6445.6,436.69,3.2998,0.95605,182.11,0.097169,41.928,0.29928,27.436,7.9491,-41101.0,293.9,-34.901,0.6447,-43628.0,789.05,-41.103,1.9092,90.0,781.0,1.0,4.5822e-6,4.5822e-6,4
Coumarin,-47.279,7.8697,8307.4,568.81,6.0418,1.0871,237.66,0.89102,49.975,1.1581,50.234,9.0385,-43411.0,1017.3,-29.605,1.975,-50829.0,1682.8,-46.745,3.6666,90.0,781.0,1.0,5.9243e-6,5.9243e-6,4
