Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
Dibenzofuran,-191.83,419.63,16705.0,32165.0,26.425,57.729,250.18,114.64,95.222,336.79,219.71,479.98,-23914.0,85227.0,0.21262,161.93,-59106.0,119740.0,-80.068,245.48,90.0,250.0,0.99154,0.016707,0.016707,4
1-Naphthol,-221.35,375.21,20684.0,30042.0,29.975,51.366,268.08,93.879,65.67,154.82,249.23,427.08,-37088.0,88380.0,-22.617,161.99,-81471.0,121430.0,-122.07,241.2,90.0,250.0,0.99678,0.013227,0.013227,4
"1,3-Dinitrobenzol",-145.16,384.38,15921.0,29304.0,19.234,52.8,257.28,61.15,49.198,71.018,159.92,439.0,-47549.0,69508.0,-43.735,129.81,-74300.0,102640.0,-104.32,212.69,90.0,250.0,0.99639,0.013976,0.013976,4
Fluorene,-182.73,411.14,16281.0,32878.0,25.124,56.345,263.24,149.59,102.59,431.62,208.89,468.48,-23318.0,98968.0,2.435,183.31,-59506.0,134800.0,-79.041,267.95,90.0,250.0,0.99228,0.015916,0.015916,4
Diphenylamine,-179.52,392.54,17139.0,30788.0,24.357,53.823,262.89,97.504,70.383,172.94,202.52,447.51,-33944.0,84312.0,-17.415,156.02,-68957.0,118200.0,-96.274,238.56,90.0,250.0,0.99515,0.014523,0.014523,4
1-Nitronaphthalene,-189.29,394.25,17479.0,33609.0,25.847,53.732,282.53,180.55,99.084,442.09,214.9,446.75,-25910.0,116830.0,-0.72069,208.6,-67285.0,154460.0,-92.134,294.31,90.0,250.0,0.99474,0.014474,0.014474,4
Benzophenone,-226.48,401.08,19901.0,34170.0,31.031,54.737,276.02,179.72,105.48,532.62,258.01,455.11,-23774.0,121050.0,2.6177,219.06,-71770.0,159420.0,-104.09,304.86,90.0,250.0,0.99492,0.01502,0.01502,4
2-phenylethenylbenzene,-173.82,395.01,16612.0,32054.0,23.628,54.002,273.08,129.97,80.512,251.47,196.46,449.0,-30812.0,97350.0,-10.501,176.7,-66780.0,132800.0,-90.699,261.26,90.0,250.0,0.9948,0.014619,0.014619,4
Hexachlorbenzol,-164.7,406.16,15613.0,32921.0,22.469,55.539,272.02,144.54,88.362,312.74,186.82,461.78,-27966.0,100080.0,-5.3898,182.06,-61970.0,136420.0,-81.29,268.6,90.0,250.0,0.99355,0.015464,0.015464,4
Phenanthrene,-135.53,415.94,14203.0,35419.0,18.295,56.566,292.99,181.69,83.346,302.97,152.11,470.31,-31973.0,118020.0,-10.569,206.09,-62850.0,157930.0,-78.109,300.39,90.0,250.0,0.99401,0.016041,0.016041,4
Dibutyl Phthalate,708.49,Inf,-36015.0,Inf,-101.47,Inf,232.18,Inf,16.731,Inf,-843.7,Inf,-126900.0,Inf,-205.21,Inf,-6942.5,Inf,73.54,Inf,90.0,250.0,1.0,2.0238999999999998e-23,Inf,3
Carbazole,750.11,Inf,-38988.0,Inf,-107.17,Inf,236.44,Inf,16.617,Inf,-891.09,Inf,-129930.0,Inf,-209.07,Inf,560.6,Inf,92.831,Inf,90.0,250.0,1.0,4.934299999999999e-28,Inf,3
Fluoranthene,724.64,Inf,-37790.0,Inf,-103.42,Inf,241.67,Inf,17.153,Inf,-859.85,Inf,-128470.0,Inf,-203.64,Inf,1946.3,Inf,96.461,Inf,90.0,250.0,1.0,4.0409e-28,Inf,3
Pyrene,767.57,Inf,-40332.0,Inf,-109.49,Inf,242.7,Inf,16.478,Inf,-910.36,Inf,-134260.0,Inf,-214.37,Inf,4745.3,Inf,105.16,Inf,90.0,250.0,1.0,2.7018e-29,Inf,3
4-Methyl-2-Nitrophenol,-368.77,451.01,27282.0,31866.0,51.433,62.673,214.93,64.226,109.35,403.66,427.64,521.09,-18113.0,67030.0,8.7977,137.07,-71540.0,98729.0,-117.64,215.04,90.0,250.0,0.99022,0.019691,0.019691,4
2-Nitrotoluol,-398.59,501.95,28674.0,32935.0,55.753,70.288,190.9,20.515,76.854,119.31,463.56,584.41,-23297.0,36224.0,-4.2951,77.966,-70070.0,70135.0,-117.95,164.68,90.0,250.0,0.98568,0.024767,0.024767,4
Butyrophenone,-346.4,520.67,25020.0,34268.0,48.538,72.881,192.13,26.059,88.853,171.33,403.57,605.96,-20258.0,39128.0,2.3691,83.989,-61473.0,74291.0,-97.643,173.86,90.0,250.0,0.98029,0.026628,0.026628,4
Indole,-256.06,397.05,21473.0,29201.0,35.203,54.848,236.03,63.517,73.062,163.39,292.69,456.03,-29505.0,66392.0,-12.037,129.79,-72248.0,97274.0,-110.97,206.07,90.0,250.0,0.99461,0.015081,0.015081,4
Biphenyl,-262.11,469.59,20201.0,33018.0,36.55,65.227,217.05,68.339,105.18,350.64,303.89,542.33,-18994.0,63539.0,7.1596,129.28,-57603.0,97139.0,-84.005,213.16,90.0,250.0,0.98558,0.021329,0.021329,4
"2,4-Dinitrotoluol",-164.43,379.51,17370.0,29453.0,21.888,52.044,263.16,68.707,51.078,80.997,181.99,432.72,-46820.0,75207.0,-41.392,138.89,-78333.0,108290.0,-112.35,220.95,90.0,250.0,0.99677,0.013578,0.013578,4
Benzyl benzoate,12.123,504.46,6337.9,36575.0,-3.0345,69.632,240.51,40.443,33.413,31.991,-25.23,578.95,-65656.0,63707.0,-81.911,122.79,-61859.0,107850.0,-73.163,235.25,90.0,250.0,0.9934,0.024307,0.024307,4
Benzo[h]quinoline,-159.3,394.81,16078.0,34846.0,21.536,53.57,300.25,197.67,88.163,353.87,179.06,445.41,-31008.0,126280.0,-8.1687,217.86,-68656.0,165780.0,-89.958,308.16,90.0,250.0,0.99537,0.014387,0.014387,4
Anthracene,-148.91,397.98,15092.0,34884.0,20.167,54.026,298.64,203.97,91.83,381.13,167.68,449.2,-29602.0,124660.0,-5.8629,215.66,-64588.0,164130.0,-81.984,306.4,90.0,250.0,0.99469,0.014632,0.014632,4
Acridine,-151.9,395.7,15645.0,34846.0,20.492,53.681,301.43,194.09,85.283,326.35,170.38,446.33,-32186.0,125070.0,-10.109,215.19,-68209.0,164560.0,-88.282,306.16,90.0,250.0,0.99536,0.014446,0.014446,4
Diphenylsulfoxide,660.93,Inf,-33519.0,Inf,-94.588,Inf,236.53,Inf,17.682,Inf,-786.45,Inf,-122150.0,Inf,-193.75,Inf,-6910.6,Inf,72.831,Inf,90.0,250.0,1.0,2.7412999999999997e-28,Inf,3
1-Methylanthracene,-140.6,392.06,15005.0,35675.0,18.91,53.025,313.19,223.12,87.773,357.29,157.23,440.87,-32567.0,134860.0,-9.6346,227.08,-67659.0,175610.0,-84.961,319.82,90.0,250.0,0.99551,0.014095,0.014095,4
"2,4,6-Trichlorophenol",-246.37,417.05,20297.0,30439.0,34.012,57.668,232.55,69.967,82.562,215.83,282.79,479.48,-25754.0,67703.0,-5.0193,133.32,-66067.0,99645.0,-98.66,212.29,90.0,250.0,0.99264,0.016672,0.016672,4
Diethyl phthalate,-405.74,39927.0,31879.0,2.2728e7,55.997,61.506,296.11,286870.0,116710.0,6.7569e11,465.58,511.39,-23.086,1.3366e8,45.867,234800.0,-95983.0,1.8897e8,-163.42,331950.0,90.0,250.0,0.99563,0.018971,0.018971,4
Dibenzothiophene,-146.5,399.76,14831.0,34281.0,19.85,54.361,292.61,185.39,88.879,342.71,165.04,451.99,-29943.0,117110.0,-7.0175,204.81,-63381.0,155690.0,-80.188,294.79,90.0,250.0,0.99442,0.014815,0.014815,4
Anthrachinon,703.51,Inf,-35757.0,Inf,-100.68,Inf,240.02,Inf,16.553,Inf,-837.11,Inf,-132280.0,Inf,-211.86,Inf,-6691.4,Inf,77.616,Inf,90.0,250.0,1.0,1.4594e-28,Inf,3
1-Benzofuran,1760.8,Inf,-101390.0,Inf,-250.63,Inf,146.13,Inf,47.568,Inf,-2083.9,Inf,-30727.0,Inf,-27.378,Inf,86237.0,Inf,272.11,Inf,90.0,250.0,1.0,4.3844000000000004e-24,Inf,3
"2,3-Dimethylphenol",-330.63,467.05,24901.0,31194.0,46.027,65.242,198.85,24.659,70.145,105.06,382.69,542.45,-26407.0,39646.0,-10.039,83.843,-68064.0,72108.0,-110.37,166.65,90.0,250.0,0.98901,0.021339,0.021339,4
Coumarin,-222.18,392.04,19662.0,30940.0,30.392,53.785,259.71,107.86,81.897,252.17,252.69,447.19,-28827.0,89526.0,-8.1903,166.93,-71712.0,123100.0,-105.08,247.0,90.0,250.0,0.99513,0.014502,0.014502,4
