Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
Methyl tricosanoate,6.8434e-314,190.68,6.8434e-314,1.73e-322,1.8e-322,1.7e-322,-1585.4,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
Methyl nervonate,6.8434e-314,200.59,6.8434e-314,1.8e-322,1.83e-322,1.73e-322,-1667.8,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
Methyl lignocerate,6.8434e-314,210.73,6.8434e-314,1.83e-322,1.9e-322,1.8e-322,-1752.1,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
1-Pentanol,6.8434e-314,220.53,6.8434e-314,1.9e-322,1.93e-322,1.83e-322,-1833.6,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
1-Heptanol,6.8434e-314,230.41,6.8434e-314,1.93e-322,2.0e-322,1.9e-322,-1915.8,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
1-Nonanol,6.8434e-314,240.33,6.8434e-314,2.0e-322,2.03e-322,1.93e-322,-1998.2,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
1-Decanol,6.8434e-314,250.22,6.8434e-314,2.03e-322,2.08e-322,2.0e-322,-2080.4,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
1-Undecanol,6.8041e-314,260.13,6.8434e-314,2.08e-322,2.1e-322,2.03e-322,-2162.8,4.3268e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
"2-Pentanone, 4-methyl-",6.8434e-314,270.29,6.8041e-314,2.1e-322,2.17e-322,2.08e-322,-2247.3,4.3084e-312,6.8042e-314,6.8042e-314,90.0,250.0,-0.0
2-Hexanone,6.8434e-314,280.31,6.8434e-314,2.17e-322,2.2e-322,2.1e-322,-2330.6,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
2-Decanone,6.8434e-314,290.06,6.8434e-314,2.2e-322,2.27e-322,2.17e-322,-2411.7,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
2-Undecanone,6.8041e-314,300.13,6.8434e-314,2.27e-322,2.3e-322,2.2e-322,-2495.4,4.3268e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
2-Dodecanone,6.8041e-314,39.781,6.8041e-314,2.3e-322,2.37e-322,2.27e-322,-330.75,4.3052e-312,6.8042e-314,6.8042e-314,90.0,250.0,-0.0
2-Tridecanone,6.8041e-314,49.853,6.8041e-314,2.37e-322,2.4e-322,2.3e-322,-414.5,4.3052e-312,6.8042e-314,6.8042e-314,90.0,250.0,-0.0
2-Pentadecanone,6.8041e-314,59.744,6.8041e-314,2.4e-322,2.47e-322,2.37e-322,-496.74,4.3052e-312,6.8042e-314,6.8042e-314,90.0,250.0,-0.0
Propiophenone,6.8434e-314,69.755,6.8041e-314,2.47e-322,2.5e-322,2.4e-322,-579.97,4.3084e-312,6.8042e-314,6.8042e-314,90.0,250.0,-0.0
Butyrophenone,2.3716e-314,190.59,6.8434e-314,2.5e-322,2.57e-322,2.47e-322,-1584.6,3.9582e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
Valerophenone,2.3716e-314,2.3365e-314,2.7719e-314,2.57e-322,6.7413e-314,2.5e-322,6.2759e-311,1.7206e-312,2.7719e-314,2.7719e-314,90.0,250.0,-0.0
Hexanophenone,2.3716e-314,2.3365e-314,0.0,2.1423e-314,2.1423e-314,0.0,-1.9427e-313,1.9718e-313,3.072e-314,0.0,90.0,250.0,NaN
Heptanophenone,2.3716e-314,2.3365e-314,0.0,2.1423e-314,0.0,2.1423e-314,-1.9427e-313,1.9718e-313,2.3716e-314,0.0,90.0,250.0,NaN
Octanophenone,2.3716e-314,0.0,0.0,6.97e-321,0.0,0.0,0.0,1.9718e-313,0.0,0.0,90.0,250.0,NaN
