Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,beta0,Tref,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
C30,-155.02,21640.0,19.458,326.91,36.139,161.78,-121170.0,-173.4,250.0,90.0,1.0,8.8874e-7,4.4437e-7,5
C32,-164.19,22964.0,20.607,340.33,36.462,171.34,-128710.0,-183.82,250.0,90.0,1.0,4.0055e-7,4.0055e-7,4
Benzamide,-80.438,10152.0,10.32,164.43,33.976,85.808,-53244.0,-77.173,250.0,90.0,0.99999,0.0001291,1.8442e-5,10
4-Nitroaniline,-78.712,10931.0,9.9431,204.12,36.824,82.672,-60866.0,-84.445,250.0,90.0,0.99998,0.00073081,9.1352e-5,11
1-Naphthol,-85.904,11106.0,10.995,191.6,36.024,91.421,-59140.0,-83.91,250.0,90.0,0.99999,0.0002019,2.5237e-5,11
Resorcinol,-101.85,11503.0,13.274,152.7,30.999,110.36,-55561.0,-85.891,250.0,90.0,0.99994,0.002148,0.00026849,11
Hexanophenone,-78.324,10632.0,9.8885,183.27,34.048,82.218,-58540.0,-84.345,250.0,90.0,0.99999,0.00028247,3.5309e-5,11
Heptanophenone ,-83.838,11377.0,10.59,197.01,34.547,88.049,-62621.0,-89.984,250.0,90.0,0.99999,0.0001844,2.6343e-5,10
Octanophenone ,-86.602,11959.0,10.902,210.21,34.924,90.642,-66518.0,-95.085,250.0,90.0,0.99999,0.00019305,3.2175e-5,9
Tert-butylpyridine,-61.022,8078.2,7.7361,126.93,32.122,64.322,-43807.0,-63.88,250.0,90.0,0.99999,0.00023273,3.3247e-5,10
4-Methylpyridine,-48.641,6435.6,6.1357,81.727,29.575,51.015,-34983.0,-52.683,250.0,90.0,0.99987,0.00073153,0.00024384,6
4-Ethylaniline,-65.571,8673.0,8.3138,139.39,32.458,69.125,-47008.0,-68.58,250.0,90.0,0.99999,0.00019728,2.466e-5,11
4-Butylaniline,-70.911,9769.6,8.9269,170.45,33.871,74.222,-54275.0,-77.836,250.0,90.0,0.99998,0.0006593,8.2413e-5,11
4-Hexylaniline,-80.831,11184.0,10.175,198.57,34.859,84.604,-62261.0,-88.737,250.0,90.0,0.99999,0.00034993,4.999e-5,10
4-Octylaniline,-93.04,12751.0,11.743,223.94,35.74,97.637,-70561.0,-100.39,250.0,90.0,0.99999,0.00024603,3.5147e-5,10
4-Decylaniline,-101.85,14089.0,12.836,246.83,36.465,106.73,-78388.0,-110.97,250.0,90.0,1.0,6.2393e-5,1.0399e-5,9
4-Dodecylaniline,-111.28,15476.0,14.013,267.6,37.02,116.51,-86364.0,-121.93,250.0,90.0,1.0,2.3591e-5,4.7181e-6,8
1-Octanol,-72.147,8868.5,9.2224,119.59,29.399,76.679,-45891.0,-71.169,250.0,90.0,0.99999,0.00021176,4.2352e-5,8
Octanoic acid,-94.066,10730.0,12.187,134.05,28.749,101.33,-52418.0,-83.458,250.0,90.0,0.99997,0.00085578,0.00021395,7
Decanoic acid ,-90.183,11241.0,11.513,164.35,30.853,95.724,-58701.0,-89.826,250.0,90.0,0.99995,0.00090206,0.00015034,9
Dextromethorphan,-95.683,13831.0,12.02,268.23,40.017,99.94,-78707.0,-106.48,250.0,90.0,1.0,1.4555e-5,2.9111e-6,8
Lidocaine,-89.128,12720.0,11.178,236.13,36.909,92.941,-72008.0,-100.25,250.0,90.0,1.0,6.9057e-5,1.1509e-5,9
Caffeine,-90.358,12546.0,11.415,232.6,37.765,94.912,-69848.0,-96.876,250.0,90.0,0.99999,0.00014878,2.1254e-5,10
Anthracene,-73.065,10983.0,9.1317,231.99,40.053,75.925,-63749.0,-84.008,250.0,90.0,1.0,3.598e-5,7.1961e-6,8
"(1S,2R)-1-Phenyl-2-pyrrolidin-1-yl-propan-1-ol",-79.537,11353.0,9.9811,214.54,36.675,82.988,-64256.0,-89.125,250.0,90.0,0.99999,0.00013384,3.3461e-5,7
Diphenylamine,-82.105,11309.0,10.374,206.26,36.275,86.257,-62707.0,-87.932,250.0,90.0,0.99999,0.00040867,5.1084e-5,11
Benzocaine,-82.394,11266.0,10.403,198.98,35.075,86.493,-62265.0,-88.708,250.0,90.0,0.99999,0.00027916,4.6527e-5,9
Nikethamide,-79.225,10883.0,9.9989,194.37,35.205,83.135,-60297.0,-85.508,250.0,90.0,0.99998,0.00053009,7.5727e-5,10
Nicotine,-71.475,9615.9,9.0691,168.9,34.852,75.404,-52568.0,-74.375,250.0,90.0,1.0,4.5553e-5,7.5921e-6,9
Tri-n-hexylamine ,-93.157,12821.0,11.692,213.87,33.28,97.211,-71301.0,-104.3,250.0,90.0,0.99999,0.00013579,2.2632e-5,9
Tri-n-octylamine ,-123.75,16977.0,15.57,271.08,34.833,129.45,-94140.0,-136.37,250.0,90.0,1.0,2.9882e-6,7.4704e-7,7
Tri-n-decylamine,-145.13,20451.0,18.18,316.75,35.777,151.16,-115150.0,-164.52,250.0,90.0,1.0,2.1074e-7,1.0537e-7,5
C34,-165.31,23687.0,20.652,352.42,36.343,171.71,-134590.0,-190.59,250.0,90.0,1.0,1.3755e-7,1.3755e-7,4
C36,-175.0,25045.0,21.871,364.2,36.576,181.85,-142200.0,-201.26,250.0,90.0,1.0,1.1482e-22,Inf,3
