Name,CAS,Cnumber,Hnumber,Onumber,Nnumber,Ringnumber,Molmass,Phase,Tchar,thetachar,DeltaCp,phi0,Annotation
C20,112-95-8,20,42,0,0,0,282.55,DB5ms,243.0754418898499,33.81519891299952,112.77373531628288,0.001,Boswell.2012
C21,629-94-7,21,44,0,0,0,296.58,DB5ms,253.07005187630546,34.136099923750784,118.94978925303555,0.001,Boswell.2012
C22,629-97-0,22,46,0,0,0,310.61,DB5ms,262.63346081822704,34.425828418257794,125.22520712715873,0.001,Boswell.2012
C23,638-67-5,23,48,0,0,0,324.63,DB5ms,271.8011763491061,34.70988139399231,131.64109390770628,0.001,Boswell.2012
C24,646-31-1,24,50,0,0,0,338.66,DB5ms,280.59414303129404,34.97462819124749,137.53597858234872,0.001,Boswell.2012
C25,629-99-2,25,52,0,0,0,352.69,DB5ms,289.04604080976264,35.21388571263415,142.53243826339877,0.001,Boswell.2012
C26,630-01-3,26,54,0,0,0,366.71,DB5ms,297.19028253152374,35.4460533767212,147.25959565899237,0.001,Boswell.2012
C28,630-02-4,28,58,0,0,0,394.77,DB5ms,312.5833451253112,35.825510775019346,154.81574060782177,0.001,Boswell.2012
C30,638-68-6,30,62,0,0,0,422.82,DB5ms,326.90868550823825,36.13904454965931,161.7840107653586,0.001,Boswell.2012
C32,544-85-4,32,66,0,0,0,450.88,DB5ms,340.3284054409869,36.462061590040165,171.3370239905039,0.001,Boswell.2012
C34,14167-59-0,34,70,0,0,0,478.93,DB5ms,352.4161918582945,36.34329429388232,171.70794453158246,0.001,Boswell.2012
C36,630-06-8,36,74,0,0,0,506.98,DB5ms,364.19569663864786,36.57570771387081,181.84588711517037,0.001,Boswell.2012
