Name,CAS,Phase,Tchar,thetachar,DeltaCp,phi0,Source,Cat_1,Cat_2,Cat_3
Triacontane,638-68-6,Rxi5ms,327.33,37.514,181.0,0.001,Gaida2021,alkanes,alkane,
2-Octanone,111-13-7,Rtx5,115.61,29.601,43.348,0.0015625,Hou2018a,alkanones,ketone,
Decane,124-18-5,Rtx5,116.88,29.373,41.532,0.0015625,Hou2018a,Grob,alkane,alkanes
1-Octanol,111-87-5,Rtx5,129.48,30.209,67.032,0.0015625,Hou2018a,Grob,alcohol,alcohols
"2,4-Dimethylphenol",105-67-9,Rtx5,144.27,32.263,88.932,0.0015625,Hou2018a,aromatic,,
"2,6-Dimethylaniline",87-62-7,Rtx5,151.18,34.245,61.628,0.0015625,Hou2018a,amine,aromatic,Grob
"2,3-Butanediol",513-85-9,Rtx5,73.47,26.428,50.968,0.0015625,Hou2018c,alcohol,,
Decane,124-18-5,Rtx5,115.89,29.268,45.064,0.0015625,Hou2018c,Grob,alkane,alkanes
1-Octanol,111-87-5,Rtx5,129.05,30.173,66.682,0.0015625,Hou2018c,Grob,alcohol,alcohols
Undecane,1120-21-4,Rtx5,134.44,30.337,56.372,0.0015625,Hou2018c,Grob,alkane,alkanes
"2,6-Dimethylaniline",87-62-7,Rtx5,150.8,34.168,61.527,0.0015625,Hou2018c,amine,aromatic,Grob
Methyl decanoate,110-42-9,Rtx5,170.6,32.217,83.893,0.0015625,Hou2018c,FAME,Grob,FAMEs
Methyl laurate,111-82-0,Rtx5,198.16,33.61,106.51,0.0015625,Hou2018c,FAME,Grob,FAMEs
Heptane,142-82-5,SLB5ms,44.733,25.516,61.016,0.001,Karolat2010,alkanes,alkane,
Octane,111-65-9,SLB5ms,67.34,26.779,66.414,0.001,Karolat2010,alkanes,alkane,
Nonane,111-84-2,SLB5ms,87.415,27.7,71.804,0.001,Karolat2010,alkanes,alkane,
Decane,124-18-5,SLB5ms,106.43,28.589,76.619,0.001,Karolat2010,Grob,alkane,alkanes
Undecane,1120-21-4,SLB5ms,124.73,29.627,83.795,0.001,Karolat2010,Grob,alkane,alkanes
Dodecane,112-40-3,SLB5ms,141.24,30.299,92.576,0.001,Karolat2010,alkanes,alkane,
Tridecane,629-50-5,SLB5ms,156.65,30.962,98.557,0.001,Karolat2010,alkanes,alkane,
Tetradecane,629-59-4,SLB5ms,171.11,31.565,104.0,0.001,Karolat2010,alkanes,alkane,
Pentadecane,629-62-9,SLB5ms,184.74,32.117,109.41,0.001,Karolat2010,alkanes,alkane,
1-Octanol,111-87-5,SLB5ms,119.49,29.317,92.73,0.001,Karolat2010,Grob,alcohol,alcohols
1-Nonanol,143-08-8,SLB5ms,136.58,30.234,98.978,0.001,Karolat2010,alcohol,alcohols,
2-Octanol,123-96-6,SLB5ms,107.02,28.644,88.373,0.001,Karolat2010,alcohol,,
2-Nonanol,628-99-9,SLB5ms,124.84,29.561,93.742,0.001,Karolat2010,alcohol,,
5-Nonanol,623-93-8,SLB5ms,122.91,29.57,90.713,0.001,Karolat2010,alcohol,,
5-Decanol,5205-34-5,SLB5ms,139.53,30.355,96.466,0.001,Karolat2010,alcohol,,
2-Octanone,111-13-7,SLB5ms,105.28,28.875,81.318,0.001,Karolat2010,alkanones,ketone,
2-Decanone,693-54-9,SLB5ms,140.19,30.59,92.011,0.001,Karolat2010,alkanones,ketone,
Heptane,142-82-5,SPB50,28.235,24.9,50.897,0.001,Karolat2010,alkanes,alkane,
Octane,111-65-9,SPB50,51.05,26.157,58.154,0.001,Karolat2010,alkanes,alkane,
Nonane,111-84-2,SPB50,71.902,27.274,62.654,0.001,Karolat2010,alkanes,alkane,
Decane,124-18-5,SPB50,91.118,28.225,66.816,0.001,Karolat2010,Grob,alkane,alkanes
Undecane,1120-21-4,SPB50,108.95,29.004,74.381,0.001,Karolat2010,Grob,alkane,alkanes
Dodecane,112-40-3,SPB50,125.51,29.712,80.552,0.001,Karolat2010,alkanes,alkane,
Tridecane,629-50-5,SPB50,140.98,30.369,85.114,0.001,Karolat2010,alkanes,alkane,
Tetradecane,629-59-4,SPB50,155.5,30.95,89.308,0.001,Karolat2010,alkanes,alkane,
Pentadecane,629-62-9,SPB50,169.18,31.461,93.29,0.001,Karolat2010,alkanes,alkane,
1-Octanol,111-87-5,SPB50,121.98,30.177,80.164,0.001,Karolat2010,Grob,alcohol,alcohols
1-Nonanol,143-08-8,SPB50,138.26,30.925,85.349,0.001,Karolat2010,alcohol,alcohols,
