Name,CAS,Cnumber,Hnumber,Onumber,Nnumber,Ringnumber,Molmass,Phase,Tchar,thetachar,DeltaCp,phi0,Annotation
2-Hexanone,591-78-6,6,12,1,0,0,100.15888,Rxi17SilMS,69.311,27.747,183.88,0.001,Brehmer2022
Hexan-1-ol,111-27-3,6,14,1,0,0,102.17476,Rxi17SilMS,77.98,26.825,116.18,0.001,Brehmer2022
Ethylbenzene,100-41-4,8,10,0,0,1,106.165,Rxi17SilMS,81.076,29.203,92.253,0.001,Brehmer2022
m-Xylene,108-38-3,8,10,0,0,1,106.165,Rxi17SilMS,82.057,29.116,76.562,0.001,Brehmer2022
p-Xylene,106-42-3,8,10,0,0,1,106.165,Rxi17SilMS,82.057,29.116,76.562,0.001,Brehmer2022
Chlorobenzene,108-90-7,6,5,0,0,1,112.5569,Rxi17SilMS,82.793,29.922,84.973,0.001,Brehmer2022
2-Heptanone,110-43-0,7,14,1,0,0,114.18546,Rxi17SilMS,85.535,27.024,113.81,0.001,Brehmer2022
n-Heptanal,111-71-7,7,14,1,0,0,114.18546,Rxi17SilMS,87.462,27.489,112.17,0.001,Brehmer2022
o-Xylene,95-47-6,8,10,0,0,1,106.165,Rxi17SilMS,89.046,29.889,70.688,0.001,Brehmer2022
Methyl hexanoate,106-70-7,7,14,2,0,0,130.18486,Rxi17SilMS,89.321,27.033,96.702,0.001,Brehmer2022
Cyclohexanol,108-93-0,6,12,1,0,1,100.15888,Rxi17SilMS,90.044,29.425,88.676,0.001,Brehmer2022
Styrene,100-42-5,8,8,0,0,1,104.14912,Rxi17SilMS,91.666,29.76,94.467,0.001,Brehmer2022
Heptanol,111-70-6,7,16,1,0,0,116.20134,Rxi17SilMS,98.42,30.458,197.86,0.001,Brehmer2022
Octan-2-ol,123-96-6,8,18,1,0,0,130.22792,Rxi17SilMS,99.505,27.994,108.59,0.001,Brehmer2022
Cyclohexanone,108-94-1,6,10,1,0,1,98.143,Rxi17SilMS,101.2,30.848,84.809,0.001,Brehmer2022
2-Octanone,111-13-7,8,16,1,0,0,128.21204,Rxi17SilMS,103.35,28.229,110.03,0.001,Brehmer2022
Bromobenzene,108-86-1,6,5,0,0,1,157.0079,Rxi17SilMS,104.09,31.987,80.197,0.001,Brehmer2022
n-Octanal,124-13-0,8,16,1,0,0,128.21204,Rxi17SilMS,105.34,28.314,115.11,0.001,Brehmer2022
Phenol,108-95-2,6,6,1,0,1,94.11124,Rxi17SilMS,113.06,30.654,93.668,0.001,Brehmer2022
Octan-1-ol,111-87-5,8,18,1,0,0,130.22792,Rxi17SilMS,114.37,28.935,108.34,0.001,Brehmer2022
"1,3-Dichlorobenzene",541-73-1,6,4,0,0,1,147.00196,Rxi17SilMS,115.8,32.562,78.486,0.001,Brehmer2022
2-Chlorophenol,95-57-8,6,5,1,0,1,128.5563,Rxi17SilMS,115.88,32.649,84.209,0.001,Brehmer2022
n-Butylbenzene,104-51-8,10,14,0,0,1,134.21816,Rxi17SilMS,116.35,30.927,91.572,0.001,Brehmer2022
2-Nonanone,821-55-6,9,18,1,0,0,142.23862,Rxi17SilMS,120.2,29.002,105.6,0.001,Brehmer2022
Aniline,62-53-3,6,7,0,1,1,93.12648,Rxi17SilMS,121.66,32.029,89.058,0.001,Brehmer2022
n-Nonanal,124-19-6,9,18,1,0,0,142.23862,Rxi17SilMS,122.12,29.187,103.98,0.001,Brehmer2022
Methyl octanoate,111-11-5,9,18,2,0,0,158.23802,Rxi17SilMS,122.96,28.639,107.6,0.001,Brehmer2022
"1,2-Dichlorobenzene",95-50-1,6,4,0,0,1,147.00196,Rxi17SilMS,124.28,33.276,73.739,0.001,Brehmer2022
4-Fluoroaniline,371-40-4,6,6,0,1,1,111.116943,Rxi17SilMS,124.39,31.726,99.509,0.001,Brehmer2022
