Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
C12 FAME,-98.8309,12348.0,12.6542,189.36219581823877,32.934314070398486,105.21287286263473,-93197.82585131907,-243.07504795529385,90.0,250.0,-0.25584069163521816
C8,-78.3546,7885.5,10.4266,69.34365990783914,27.188113124788963,86.69157593443657,-57761.45314134808,-174.68922499996506,90.0,250.0,-0.24268038166064196
C9,-40.7502,6439.8,4.8422,90.15177819864215,28.19886647229171,40.260290889621615,-49920.05018831729,-117.3920774172177,90.0,250.0,-0.09413425021711454
C10,-46.8867,7200.1,5.6461,109.10215298560496,28.98067997297402,46.944287388355,-55639.97643201319,-131.65306869332755,90.0,250.0,-0.11868258353438599
C11,-55.8759,8115.5,6.8599,126.6189261084653,29.743434222198562,57.03638211426941,-62342.746987338374,-150.88883589295762,90.0,250.0,-0.15345546979435384
C12,-69.7305,9296.4,8.7734,142.99621131174246,30.675983261707096,72.94610633410564,-70729.42071333027,-178.58193456588054,90.0,250.0,-0.1995624816172098
C13,-69.688,9718.3,8.6837,158.3188859218697,31.175370914787944,72.20029903725728,-74304.41514864546,-182.33036808801842,90.0,250.0,-0.19384929341351448
C14,-76.1154,10493.0,9.5251,172.72877844375182,31.829836175113577,79.19608788417142,-80116.00834270651,-197.29523796808957,90.0,250.0,-0.2088423040724202
C15,-80.2163,11148.0,10.0277,186.17533418127425,32.24992505351687,83.37493679605524,-85185.88495552733,-208.40914406244656,90.0,250.0,-0.2151481946129039
C16,-90.4369,12166.0,11.3994,198.94619554634227,32.851137479906185,94.77988516937604,-92623.56254720846,-230.66289534433622,90.0,250.0,-0.23574527680162438
C17,-91.9692,12647.0,11.5439,211.011814879866,33.21287922348586,95.98132501769919,-96514.68948019108,-236.79545591800465,90.0,250.0,-0.23546524620948758
C18,-99.292,13500.0,12.5001,222.41582400826627,33.617082910114384,103.93161417317731,-102891.40006948277,-253.95552559899684,90.0,250.0,-0.24652263277067685
C19,-104.4553,14202.0,13.1575,233.3968731793886,34.043519492224235,109.39754189835125,-108236.2193321607,-266.82402827506945,90.0,250.0,-0.25300691874791853
C20,-112.5298,15103.0,14.2184,243.8044185777701,34.470655932634926,118.21835528995003,-114933.67694587287,-285.4463618940542,90.0,250.0,-0.2632637602528224
C21,-119.3704,15924.0,15.106,253.7380585205051,34.8546122748068,125.59827230982283,-121095.65822358812,-301.7341358876619,90.0,250.0,-0.2705743600070028
C22,-122.9751,16528.0,15.5424,263.1933354569204,35.11552413606549,129.22670379638492,-125791.0348111621,-311.74959670939387,90.0,250.0,-0.273010311361471
C23,-129.3688,17320.0,16.3667,272.29702611242226,35.448398431394516,136.08031533252864,-131759.26416648654,-327.21621734790983,90.0,250.0,-0.27876607643708523
C24,-134.4363,18023.0,17.0059,280.98567395349073,35.70777997063064,141.39491983805218,-137126.01698155116,-340.1204434119423,90.0,250.0,-0.2824907332576435
C25,-139.7793,18746.0,17.6829,289.3679974078425,35.96143666602921,147.0238110305419,-142630.77324715187,-353.5867869670432,90.0,250.0,-0.286251807058892
C26,-144.5641,19423.0,18.2843,297.40661561804336,36.20766531099115,152.0241288490993,-147809.63583597145,-365.86903140915615,90.0,250.0,-0.28930651642882543
C27,-149.1632,20089.0,18.8593,305.1595354863788,36.4217144720748,156.8049448545374,-152916.79449917207,-377.8144983375265,90.0,250.0,-0.2919669524236617
C28,-152.3337,20653.0,19.2369,312.54939113952776,36.54861083434872,159.94448593915203,-157323.59271819517,-386.9086236508187,90.0,250.0,-0.2931511931999004
C29,-166.5954,22017.0,21.1392,319.44998660377235,37.0050643981963,175.76108817766496,-167241.02552789004,-418.4986932289942,90.0,250.0,-0.30311904148334523
C30,-171.5317,22684.0,21.7697,327.3274830021943,37.513655882051424,181.00335685841057,-172314.9679129311,-430.7098950661496,90.0,250.0,-0.3060175729058714
