30,,,,,1.3227,0.9406,0.6061,0.3108,0.0475,-0.1864,-0.3934,-0.5804,-0.7532,-0.9058
31,,,,,,1.3414,0.9679,0.6380,0.3439,0.0821,-0.1497,-0.3588,-0.5496,-0.7187
32,,,,,,,1.3276,0.9630,0.6381,0.3487,0.0918,-0.1394,-0.3487,-0.5358
53,1.0967,0.6722,0.3075,-0.0070,-0.2765,-0.5230,-0.7358,-0.9208,-1.0933,,,,,
54,1.4824,0.9877,0.5685,0.2110,-0.0919,-0.3614,-0.5932,-0.7945,-0.9748,-1.1466,,,,
55,,,1.1436,0.7274,0.3711,0.0577,-0.2130,-0.4486,-0.6583,-0.8440,-1.0062,-1.1681,,
56,,,,,,,1.2319,0.8968,0.5975,0.3300,0.0919,-0.1228,-0.3178,-0.4920
57,,,,,,1.1215,0.7760,0.4704,0.1974,-0.0459,-0.2617,-0.4571,-0.6351,-0.7952
58,,,,,1.4143,1.0359,0.7043,0.4112,0.1497,-0.0833,-0.2898,-0.4765,-0.6477,-0.7991
43,,,,,1.3061,0.9575,0.6510,0.3769,0.1343,-0.0851,-0.2813,-0.4583,-0.6195,-0.7653
59,,,,,1.1055,0.7524,0.4458,0.1728,-0.0660,-0.2818,-0.4746,-0.6475,-0.8062,-0.9516
60,,,,1.3559,0.9739,0.6343,0.3377,0.0729,-0.1572,-0.3658,-0.5509,-0.7171,-0.8710,-1.0099
61,,,,1.2565,0.8763,0.5387,0.2446,-0.0184,-0.2455,-0.4516,-0.6343,-0.7988,-0.9510,-1.0870
62,,,,1.1628,0.7942,0.4667,0.1815,-0.0742,-0.2940,-0.4938,-0.6700,-0.8298,-0.9793,-1.1125
63,,1.4947,1.0761,0.7122,0.3963,0.1130,-0.1336,-0.3596,-0.5469,-0.7216,-0.8768,-1.0198,-1.1549,
23,,,,,1.2167,0.8282,0.4884,0.1859,-0.0790,-0.3174,-0.5284,-0.7171,-0.8913,-1.0467
24,,,,,,,,1.0888,0.7369,0.4226,0.1421,-0.1080,-0.3334,-0.5355
25,,,,,,,,,,1.1515,0.8039,0.4926,0.2126,-0.0391
C34,,,,,,,,,,,1.4167,1.0495,0.7189,0.4215
C36,,,,,,,,,,,,1.2519,0.9031,0.5890
